,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
181,0.384289815609554,0.8511335632704115,0.9091593195970048,1038,em_tm_lp_af_mni,0.2055971622467041,0,tm,af,lp,em
182,0.6180606281957634,0.9144094576368568,0.9457723626409952,1038,em_tm_lp_af_ours,0.21973657608032227,0,tm,af,lp,em
183,0.0,0.0,0.7518565577067393,1038,em_km_in_mni,10.169787883758543,32,km,mni,in,em
184,0.0,0.0,0.7518565577067393,1038,em_km_in_ours,10.999801397323608,34,km,ours,in,em
185,0.2631237848347375,0.882274630327486,0.9267430343461432,1038,em_tm_in_mni,16.053042888641357,74,tm,mni,in,em
186,0.3219108135708612,0.9054160011616088,0.936869376278838,1038,em_tm_in_ours,15.863615274429321,74,tm,ours,in,em
187,0.2631237848347375,0.882274630327486,0.9267430343461432,1038,em_tm_lp_in_mni,15.522245407104492,71,tm,in,lp,em
188,0.3219108135708612,0.9054160011616088,0.936869376278838,1038,em_tm_lp_in_ours,15.812280178070068,74,tm,in,lp,em
189,0.1737649063032368,0.9010901218977914,0.8962854648009787,1039,tm,-,-,-,-,-,tm
190,0.4015661839003031,0.6658882045156748,0.7671964081995278,1039,lp_ours,-,-,ours,-,-,lp
191,0.3947787328876154,0.6187293202494354,0.7000041976561814,1039,lp_mni,-,-,mni,-,-,lp
192,0.6972136827209291,0.9069398812611678,0.9395608932310432,1039,tm+lp_ours,-,-,ours,-,-,tm
193,0.2053952272989278,0.8499613559205592,0.89835552761776,1039,tm+lp_mni,-,-,mni,-,-,tm
194,0.0015420148545186,0.7684200497123466,0.8812883107814233,1039,em_km,71.14625453948975,300,km,-,-,em
195,0.0328170296881778,0.7971924054540215,0.6197788551474219,1039,em_tm,59.76236867904663,300,tm,-,-,em
196,0.0004390173537288,0.8224960002988935,0.942062209598148,1039,em_lp_mni,58.790992736816406,300,lp,mni,-,em
197,0.0004390173537288,0.8224960002988935,0.942062209598148,1039,em_lp_ours,58.90529155731201,300,lp,ours,-,em
198,0.1215024647642852,0.8364693387837709,0.9091696531295044,1039,em_km_af_mni,2.253639936447144,0,km,mni,af,em
199,0.3581336696090794,0.8918330967304045,0.9409623965234248,1039,em_km_af_ours,1.833169937133789,0,km,ours,af,em
200,0.260006567665195,0.7732276975022266,0.885478439746227,1039,em_tm_af_mni,0.28377723693847656,0,tm,mni,af,em
201,0.5538509542877945,0.8356511145084768,0.9179054307374136,1039,em_tm_af_ours,0.2614715099334717,0,tm,ours,af,em
202,0.1064599483204134,0.8284607859944938,0.9050986352320618,1039,em_tm_lp_af_mni,0.23603391647338867,0,tm,af,lp,em
203,0.3302949061662198,0.888182253670123,0.9380270709628392,1039,em_tm_lp_af_ours,0.2278900146484375,0,tm,af,lp,em
204,0.0,0.8631943242775567,0.92516418775041,1039,em_km_in_mni,31.73126196861267,101,km,mni,in,em
205,0.0882080806003906,0.8796040521450533,0.9319800140784448,1039,em_km_in_ours,23.846636295318604,76,km,ours,in,em
206,0.0,0.8631943242775567,0.92516418775041,1039,em_tm_in_mni,26.248414993286133,103,tm,mni,in,em
207,0.0882080806003906,0.8796040521450533,0.9319800140784448,1039,em_tm_in_ours,18.858896732330322,79,tm,ours,in,em
208,0.0,0.8631943242775567,0.9251647845512144,1039,em_tm_lp_in_mni,69.58702039718628,300,tm,in,lp,em
209,0.0882080806003906,0.8796040521450533,0.9319800140784448,1039,em_tm_lp_in_ours,19.6995792388916,80,tm,in,lp,em
210,0.5012156171044477,0.8878520648259098,0.8966286786936282,1101,tm,-,-,-,-,-,tm
211,0.5252548927692487,0.6867943990007391,0.761489624800432,1101,lp_ours,-,-,ours,-,-,lp
212,0.5782841442038941,0.6511284083256331,0.7083118675281302,1101,lp_mni,-,-,mni,-,-,lp
213,0.8287158109994691,0.9076041174415976,0.937539865220888,1101,tm+lp_ours,-,-,ours,-,-,tm
214,0.4400305407708225,0.859922104263964,0.8994734567951559,1101,tm+lp_mni,-,-,mni,-,-,tm
215,0.7667461165447522,0.8771310707868296,0.9297967584972668,1101,em_km,82.90617203712463,300,km,-,-,em
216,0.5588006432536183,0.8623455880762214,0.9206483112731378,1101,em_tm,68.65240716934204,282,tm,-,-,em
217,0.5588006432536183,0.8623455880762214,0.9206483112731378,1101,em_lp_mni,48.8245153427124,200,lp,mni,-,em
218,0.5588006432536183,0.8623455880762214,0.9206483112731378,1101,em_lp_ours,36.261610984802246,148,lp,ours,-,em
219,0.5320838940492992,0.8331231013210142,0.9035478344919244,1101,em_km_af_mni,2.249258279800415,0,km,mni,af,em
220,0.7126119917298415,0.8887037881786961,0.935625422164334,1101,em_km_af_ours,2.097827196121216,0,km,ours,af,em
221,0.4180868660211496,0.8221313873391721,0.8972673404584758,1101,em_tm_af_mni,0.34690117835998535,0,tm,mni,af,em
222,0.5983909654207475,0.879504786169171,0.9293982327808216,1101,em_tm_af_ours,0.34809398651123047,0,tm,ours,af,em
223,0.4180868660211496,0.8221313873391721,0.8972673404584758,1101,em_tm_lp_af_mni,0.2831244468688965,0,tm,af,lp,em
224,0.5983909654207475,0.879504786169171,0.9293982327808216,1101,em_tm_lp_af_ours,0.29908132553100586,0,tm,af,lp,em
225,0.0,0.8444054162784567,0.9085949180600014,1101,em_km_in_mni,23.27781057357788,65,km,mni,in,em
226,0.0,0.8623455880762214,0.9203507144911128,1101,em_km_in_ours,40.81348252296448,115,km,ours,in,em
227,0.5339428692228417,0.844409057773875,0.9134993357774492,1101,em_tm_in_mni,19.98367714881897,69,tm,mni,in,em
228,0.5339428692228417,0.8623458716947855,0.9203097573785598,1101,em_tm_in_ours,22.477077960968018,79,tm,ours,in,em
229,0.5339428692228417,0.844409057773875,0.9134993357774492,1101,em_tm_lp_in_mni,19.677021026611328,68,tm,in,lp,em
230,0.5339428692228417,0.8623458716947855,0.9203097573785598,1101,em_tm_lp_in_ours,22.36250638961792,79,tm,in,lp,em
231,0.5468776422273222,0.7899500421721923,0.8149245134441861,1104,tm,-,-,-,-,-,tm
232,0.6930789924186843,0.7255637106074992,0.7959052273756911,1104,lp_ours,-,-,ours,-,-,lp
233,0.689803380697309,0.6746784894076542,0.7178631798588277,1104,lp_mni,-,-,mni,-,-,lp
234,0.8344523647549469,0.8590576813603498,0.8998073338097927,1104,tm+lp_ours,-,-,ours,-,-,tm
235,0.3546207129582699,0.816342181087682,0.8687901389759257,1104,tm+lp_mni,-,-,mni,-,-,tm
236,8.93408271336214e-05,0.7773094810595633,0.9232105645290564,1104,em_km,80.74629592895508,300,km,-,-,em
237,0.4218165823619969,0.8801438724215636,0.9320499839682158,1104,em_tm,65.96842408180237,286,tm,-,-,em
238,0.4218165823619969,0.8801438724215636,0.9320499839682158,1104,em_lp_mni,51.18763089179993,222,lp,mni,-,em
239,0.0,0.8514439560737405,0.9197248815784806,1104,em_lp_ours,61.445998191833496,265,lp,ours,-,em
240,0.1274736982287921,0.8321364718758619,0.9072863140347728,1104,em_km_af_mni,2.3693394660949707,0,km,mni,af,em
241,0.3394539476114826,0.886202404941013,0.9374950256743814,1104,em_km_af_ours,2.256807565689087,0,km,ours,af,em
242,0.3338656501133319,0.8380029739793127,0.9109804657714932,1104,em_tm_af_mni,0.3206660747528076,0,tm,mni,af,em
243,0.5923449388978557,0.8979795834754425,0.942884327610136,1104,em_tm_af_ours,0.31351518630981445,0,tm,ours,af,em
244,0.3338656501133319,0.8380029739793127,0.9109804657714932,1104,em_tm_lp_af_mni,0.26906824111938477,0,tm,af,lp,em
245,0.5343511450381679,0.8737708565072303,0.9335221915684452,1104,em_tm_lp_af_ours,0.26712679862976074,0,tm,af,lp,em
246,0.4218165823619969,0.8684101846064828,0.9280454714574976,1104,em_km_in_mni,22.703799724578857,66,km,mni,in,em
247,0.4791102841677943,0.8801409227362498,0.9325147702867556,1104,em_km_in_ours,24.235302925109863,72,km,ours,in,em
248,0.4218165823619969,0.8684101846064828,0.9280454714574976,1104,em_tm_in_mni,18.225849628448486,70,tm,mni,in,em
249,0.4791102841677943,0.8801409227362498,0.9325147702867556,1104,em_tm_in_ours,19.32984495162964,75,tm,ours,in,em
250,0.4218165823619969,0.8684101846064828,0.9280454714574976,1104,em_tm_lp_in_mni,17.55886483192444,67,tm,in,lp,em
251,0.4791102841677943,0.8801409227362498,0.9325147702867556,1104,em_tm_lp_in_ours,19.170997619628906,74,tm,in,lp,em
